Date, Time ,Gear Id,Boat Name,Trip Start ,Trip end,Mesh Size (mm),Mesh Type,Fishing Zone,Haul time (min),Depth (fa),Vessel length (ft),Motorised,Engine (hp),ID, Genus , Species ,Total Length, Std l ,length at gill,Body depth,Weight (g),Category,Total Catch (kg),Total catch (g)
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,17,,,4.5,31,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,18.4,,,4.5,34,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,17,,4.3,4.5,31,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,18,,5.3,5.5,33,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,18,,5,5.2,33,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,16.7,,4,4.2,31,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,19.1,,5.4,4.8,35,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,19,,5,5,35,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,17.2,,4.2,4.5,31,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Secutor,insidator,8.9,,4.2,3,9,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Lactarius,lactarius,16,,5.9,5.4,56,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Scombromorous, ,22.7,,4.7,5,142,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Scombromorous, ,22.2,,4.5,5.5,,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Rastrelliger,kanagurta,16,,4.7,5.2,45,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Ophisthopterus,tardoore,17,,4.5,4,32,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,Cluepidae,,,15.7,,4,4.7,31,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Megalapsis,cordyla,14.6,,4,4.4,52,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Megalapsis,cordyla,14.7,,4,4.4,,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Selar,crumenophthalamus,18.2,,4.6,5.4,57,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,Synodontidae,,,15.2,,2,2,24,Bycatch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,17.1,,4.5,4,31,Target Catch,110,110000
22-01-2018,morning,GN01,Swami Samrth,02:30:00,06:30:00,36,unmixed,pelagic,90,8,25,yes,8,,Sardinella,longiceps,17.2,,4.2,4.6,31,Target Catch,110,110000
