"","Date","Boat.name","Gear.Type","Fishing.Location","Depth.m","effort","lat","lon"
"1","07-01-2019","b9fec978","Trawler","Malvan",28.05,18,16.0630693,73.3479166666667
"2","05-03-2018","eb657d2f","Trawler","Tondavali",11.22,15,16.1646075,73.4104166666667
"3","07-03-2018","eb657d2f","Trawler","Tondavali",14.96,12,16.1646075,73.3979166666667
"4","09-03-2018","270af5cd","GillNet","Wayari",18.7,1,16.0465772,73.41875
"5","09-03-2018","603fde4f","GillNet","Tarkarli",11.22,2,16.0370463,73.4479166666667
"6","09-03-2018","2dfd4785","GillNet","Wayari",18.7,2,16.0465772,73.41875
"7","09-03-2018","6d2d1679","GillNet","Wayari",20.57,0.5,16.0465772,73.4020833333333
"8","09-03-2018","b582348b","GillNet","Wayari",20.57,0.75,16.0465772,73.4020833333333
"9","09-03-2018","33d169d3","GillNet","Wayari",14.96,0.33,16.0465772,73.4354166666667
"10","09-03-2018","dd660e95","GillNet","Aachara",16.83,1,16.190837,73.39375
"11","10-03-2018","a5f43c13","GillNet","Aachara",20.57,1,16.190837,73.38125
"12","10-03-2018","7d50df84","GillNet","Wayari",11.22,0.75,16.0465772,73.4479166666667
"13","10-03-2018","878f9bfd","GillNet","Wayari",10.285,1,16.0465772,73.4520833333333
"14","12-03-2018","eb657d2f","Trawler","Sarjekot",22.44,12,16.0844845,73.39375
"15","12-03-2018","0e4eb309","GillNet","Wayari",9.35,0.5,16.0465772,73.4520833333333
"16","12-03-2018","a5f43c13","GillNet","Aachara",20.57,0.5,16.190837,73.38125
"17","12-03-2018","33d169d3","GillNet","Wayari",9.35,0.5,16.0465772,73.4520833333333
"18","12-03-2018","dd660e95","GillNet","Wayari",13.09,1,16.0465772,73.44375
"19","13-03-2018","cf971186","GillNet","Wayari",9.35,1,16.0465772,73.4520833333333
"20","13-03-2018","a66ad29c","GillNet","Wayari",9.35,0.75,16.0465772,73.4520833333333
"21","15-03-2018","9b1a0044","GillNet","Wayari",9.35,0.33,16.0465772,73.4520833333333
"22","15-03-2018","1900c151","GillNet","Wayari",5.61,0.166666667,16.0465772,73.4604166666667
"23","15-03-2018","439107ad","GillNet","Wayari",5.61,0.5,16.0465772,73.4604166666667
"24","16-03-2018","bdeccb3b","GillNet","Wayari",12.155,1,16.0465772,73.4479166666667
"25","16-03-2018","3a493285","GillNet","Wayari",5.61,0.5,16.0465772,73.4604166666667
"26","17-03-2018","2b088ddc","GillNet","Wayari",9.35,1,16.0465772,73.4520833333333
"27","17-03-2018","6d2d1679","GillNet","Wayari",9.35,0.5,16.0465772,73.4520833333333
"28","22-03-2018","aea15348","GillNet","Wayari",13.09,0.75,16.0465772,73.44375
"29","22-03-2018","1900c151","GillNet","Wayari",3.74,0.333333333,16.0465772,73.4645833333333
"30","23-03-2018","0447966d","GillNet","Wayari",28.05,2,16.0465772,73.35625
"31","23-03-2018","9133cfcf","GillNet","Wayari",14.96,1,16.0465772,73.4354166666667
"32","28-03-2018","cf971186","GillNet","Wayari",14.96,1,16.0465772,73.4354166666667
"33","29-03-2018","eb657d2f","Trawler","Malvan",37.4,10,16.0630693,73.28125
"34","29-03-2018","73ee2648","GillNet","Wayari",8.415,1,16.0465772,73.45625
"35","02-04-2018","603fde4f","GillNet","Wayari",14.025,1,16.0465772,73.4395833333333
"36","02-04-2018","80817e24","GillNet","Aachara",22.44,1,16.190837,73.3729166666667
"37","03-04-2018","eb657d2f","Trawler","Malvan",18.7,18,16.0630693,73.4104166666667
"38","04-04-2018","36fdfc51","GillNet","Wayari",9.35,0.25,16.0465772,73.4520833333333
"39","07-04-2018","dd660e95","GillNet","Talashil",14.96,1,16.100039,73.4229166666667
"40","07-04-2018","93584da9","GillNet","Talashil",9.35,0.75,16.100039,73.4354166666667
"41","10-04-2018","fc6ac6c6","GillNet","Devbag",3.74,1,16.029932,73.4479166666667
"42","10-04-2018","d193a291","GillNet","Devbag",5.61,1,16.029932,73.4354166666667
"43","11-04-2018","7d50df84","GillNet","Devbag",9.35,1,16.029932,73.4604166666667
"44","12-04-2018","eb657d2f","Trawler","Aachara",16.83,5.5,16.190837,73.39375
"45","20-04-2018","66d60272","GillNet","Wayari",5.61,1,16.0465772,73.4604166666667
"46","28-04-2018","89d97874","GillNet","Wayari",18.7,0.25,16.0465772,73.41875
"47","01-05-2018","c5fb3ce4","GillNet","Devbag",14.96,0.5,16.029932,73.4270833333333
"48","01-05-2018","3fc45f6a","GillNet","Malvan - South",13.09,2,16.0630693,73.4395833333333
"49","01-05-2018","35e689d4","GillNet","Talashil",15.895,1,16.100039,73.41875
"50","02-05-2018","a330e65d","GillNet","Aachara",11.22,2,16.190837,73.41875
"51","02-05-2018","c75c7e31","GillNet","Sindhudurg Fort Island",5.61,3,16.0415682,73.4645833333333
"52","02-05-2018","71c1dc21","GillNet","Wayari",22.44,2,16.0465772,73.39375
"53","04-05-2018","a330e65d","GillNet","Aachara",9.35,2,16.190837,73.4229166666667
"54","04-05-2018","be251ea6","GillNet","Kavada Rock",14.96,1,16.1012464,73.4229166666667
"55","04-05-2018","2f44f60e","GillNet","Talashil",18.7,2,16.100039,73.40625
"56","05-05-2018","a330e65d","GillNet","Aachara",11.22,1,16.190837,73.41875
"57","08-05-2018","933b26e2","GillNet","Sindhudurg Fort Island",3.74,1,16.0415682,73.46875
"58","09-05-2018","933b26e2","GillNet","Wayari",10.285,2,16.0465772,73.4520833333333
"59","09-05-2018","c75c7e31","GillNet","Aachara",14.96,0.5,16.190837,73.4020833333333
"60","13-05-2018","3fc45f6a","GillNet","Malvan - South",13.09,2,16.0630693,73.4395833333333
"61","19-10-2018","106caced","GillNet","Wayari",18.7,2,16.0465772,73.41875
"62","20-10-2018","eed3807f","GillNet","Wayari",18.7,0.5,16.0465772,73.41875
"63","20-10-2018","fa0489a6","GillNet","Wayari",11.22,0.5,16.0465772,73.4479166666667
"64","20-10-2018","b2e97d5e","GillNet","Wayari",16.83,0.75,16.0465772,73.43125
"65","23-10-2018","1900c151","GillNet","Wayari",18.7,0.75,16.0465772,73.41875
"66","26-10-2018","ccb5cd11","GillNet","Wayari",18.7,1,16.0465772,73.41875
"67","28-10-2018","388fa916","GillNet","Wayari",18.7,3,16.0465772,73.41875
"68","28-10-2018","dd660e95","GillNet","Tarkarli",14.96,0.5,16.0370463,73.43125
"69","29-10-2018","6ac90d55","GillNet","Kavada Rock",15.895,1,16.1012464,73.41875
"70","29-10-2018","6d2d1679","GillNet","Kavada Rock",14.96,0.5,16.1012464,73.4229166666667
"71","30-10-2018","a08a9a75","GillNet","Wayari",15.895,2,16.0465772,73.4354166666667
"72","31-10-2018","24523fc1","GillNet","Wayari",17.765,0.5,16.0465772,73.4270833333333
"73","01-11-2018","a08a9a75","GillNet","Wayari",18.7,0.5,16.0465772,73.41875
"74","03-11-2018","93584da9","GillNet","Wayari",14.96,0.5,16.0465772,73.4354166666667
"75","04-11-2018","21e4068b","GillNet","Sindhudurg Fort Island",12.155,1,16.0415682,73.4479166666667
"76","04-11-2018","1900c151","GillNet","Wayari",14.96,0.5,16.0465772,73.4354166666667
"77","06-11-2018","81131376","GillNet","Wayari",13.09,1,16.0465772,73.44375
"78","07-11-2018","893f6282","GillNet","Vayangani",5.61,1.5,15.8741823,73.5729166666667
"79","09-11-2018","893f6282","GillNet","Vayangani",4.675,0.25,15.8741823,73.5979166666667
"80","10-11-2018","a330e65d","GillNet","Wayari",20.57,1,16.0465772,73.4020833333333
"81","12-11-2018","dd660e95","GillNet","Wayari",13.09,1,16.0465772,73.44375
