Date,No..of.Boats.landed,Boat.name,Gear.Type,Fishing,Target,Net.Type,Fishing.Location,Fishing.Substrate,No..of.Days.fishing,No..of.Hauls,Average.Haul.Time..Hours.,Depth..wav.,Fishing.Trip.Start,Fishing.Trip.End,Catch.Composition,Net.Catch..kg.,Snakes.caught,Number,Remarks
07-01-2019,,Mangal Murati,Trawler,,Prawns,Benthic,Malvan,,2,3,3,15,06:00:00,17:30:00,,,Yes,2,Hooked nose
28-12-2017,,Santosh,GillNet,,,Pelagic,,,1,1,,12,02:00,06:00,,,,,
29-12-2017,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,13.5,06:03,17:20,,,,,
29-12-2017,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,13.5,06:03,17:20,,,,,
29-12-2017,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,13.5,06:03,17:20,,,,,
29-12-2017,,,GillNet,,,Pelagic,,,1,1,,NA,,,,,,,
31-12-2017,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,13.5,06:00,17:00,,,,,
31-12-2017,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,13.5,06:00,17:00,,,,,
31-12-2017,,Santosh,GillNet,,Indian Makerel,Pelagic,,,1,1,,12,17:00,21:30,,,,,
01-01-2018,,Narayan Munkar,GillNet,,Indian Oil Sardine,Pelagic,,,1,1,,12,17:00,21:00,,,,,
01-01-2018,,Narayan Munkar,GillNet,,Indian Oil Sardine,Pelagic,,,1,1,,12,17:00,21:00,,,,,
01-01-2018,,Santosh,GillNet,,,Pelagic,,,1,1,,12,17:00,20:00,,,,,
04-01-2018,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,16,06:00,17:00,,,,,
04-01-2018,,Gajanan Maharaj,Trawler,,Prawns,,,,,3,2.5,10,06:00,17:00,,,,,
04-01-2018,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,16,06:00,17:00,,,,,
04-01-2018,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,16,06:00,17:00,,,,,
04-01-2018,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,16,06:00,17:00,,,,,
04-01-2018,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,16,06:00,17:00,,,,,
04-01-2018,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,16,06:00,17:00,,,,,
04-01-2018,,Shreepad Valab 01,Trawler,,Prawns/Solefish,,,,,3,2.5,16,06:00,17:00,,,,,
04-01-2018,,Gajanan Maharaj,Trawler,,Prawns,,,,,3,2.5,10,06:00,17:00,,,,,
04-01-2018,,Gajanan Maharaj,Trawler,,Prawns,,,,,3,2.5,10,06:00,17:00,,,,,
04-01-2018,,Gajanan Maharaj,Trawler,,Prawns,,,,,3,2.5,10,06:00,17:00,,,,,
