"Date","Boat.name","Gear.Type","Fishing.Location","No..of.Days.fishing","No..of.Hauls","Average.Haul.Time..Hours.","Depth..wav.","Fishing.Trip.Start","Fishing.Trip.End","Snakes.caught","Number","Remarks"
"07-01-2019","b9fec978","Trawler","Malvan",2,3,3,15,"06:00:00","17:30:00","Yes","2","Hooked nose"
"28-12-2017","a5f43c13","GillNet",,1,1,"NA",12,"02:00","06:00",,,
"29-12-2017","a04d4d47","Trawler",,"NA",3,2.5,13.5,"06:03","17:20",,,
"29-12-2017","a04d4d47","Trawler",,"NA",3,2.5,13.5,"06:03","17:20",,,
"29-12-2017","a04d4d47","Trawler",,"NA",3,2.5,13.5,"06:03","17:20",,,
"29-12-2017","NA","GillNet",,1,1,"NA","NA",,,,,
"31-12-2017","a04d4d47","Trawler",,"NA",3,2.5,13.5,"06:00","17:00",,,
"31-12-2017","a04d4d47","Trawler",,"NA",3,2.5,13.5,"06:00","17:00",,,
"31-12-2017","a5f43c13","GillNet",,1,1,"NA",12,"17:00","21:30",,,
"01-01-2018","705c21b4","GillNet",,1,1,"NA",12,"17:00","21:00",,,
"01-01-2018","705c21b4","GillNet",,1,1,"NA",12,"17:00","21:00",,,
"01-01-2018","a5f43c13","GillNet",,1,1,"NA",12,"17:00","20:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","05ff678c","Trawler",,"NA",3,2.5,10,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","05ff678c","Trawler",,"NA",3,2.5,10,"06:00","17:00",,,
"04-01-2018","05ff678c","Trawler",,"NA",3,2.5,10,"06:00","17:00",,,
"04-01-2018","05ff678c","Trawler",,"NA",3,2.5,10,"06:00","17:00",,,
"04-01-2018","05ff678c","Trawler",,"NA",3,2.5,10,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","a04d4d47","Trawler",,"NA",3,2.5,16,"06:00","17:00",,,
"04-01-2018","603fde4f","GillNet",,1,1,"NA",10,"04:00","08:00",,,
"05-01-2018","603fde4f","GillNet",,1,1,"NA",10,"05:45","07:00",,,
"05-01-2018","603fde4f","GillNet",,1,1,"NA",10,"05:45","07:00",,,
"05-01-2018","b0b7e315","GillNet",,1,1,"NA",10,"04:00","07:30",,,
"06-01-2018","53dc7269","GillNet",,1,1,"NA",8,"05:00","08:30",,,
"08-01-2018","cea13878","GillNet",,1,1,"NA",7.5,"01:00","07:00",,,
