"","Field.Code","Species","Fishing.Location","Depth.Caught..m.","Tissue.type","Delta.Carbon","Delta.Nitrogen","lat","lon"
"1","HSDB124","Hydrophis schistosus","Tarkarli",11.22,"Plasma",-14.8,16.14,16.0370463,73.4479166666667
"2","HSDB130","Hydrophis schistosus","Malvan",20.57,"Plasma",-18.99,14.03,16.0630693,73.39375
"3","HSDB154","Hydrophis schistosus","Malvan",7.48,"Plasma",-15.97,15.62,16.0630693,73.4520833333333
"4","HSDB167","Hydrophis schistosus","Malvan",13.09,"Plasma",-16.24,15.94,16.0630693,73.4395833333333
"5","HSDB169","Hydrophis schistosus","Malvan",28.05,"Plasma",-16.84,15.06,16.0630693,73.3479166666667
"6","HSDB176","Hydrophis schistosus","Malvan",14.96,"Plasma",-16.54,14.04,16.0630693,73.4354166666667
"7","HSDB182","Hydrophis schistosus","Malvan",3.74,"Plasma",-16.23,14,16.0630693,73.45625
"8","HSMT109","Hydrophis schistosus","Malvan",37.4,"Plasma",-16.57,14.07,16.0630693,73.28125
"9","HSMT84","Hydrophis schistosus","Tondavali",11.22,"Plasma",-15.45,15.25,16.1646075,73.4104166666667
"10","HSMT85","Hydrophis schistosus","Tondavali",11.22,"Plasma",-17.51,14.87,16.1646075,73.4104166666667
"11","HSMT87","Hydrophis schistosus","Tondavali",14.96,"Scales",-14.56,15.83,16.1646075,73.3979166666667
"12","HSMT88","Hydrophis schistosus","Tondavali",14.96,"Scales",-16.28,15.46,16.1646075,73.3979166666667
"13","HSMT90","Hydrophis schistosus","Tondavali",14.96,"Scales",-15.21,15.29,16.1646075,73.3979166666667
"14","HSDB177","Hydrophis schistosus","Malvan",8.415,"Scales",-14.01,15.08,16.0630693,73.4479166666667
"15","HSDB190","Hydrophis schistosus","Devbag",9.35,"Scales",-12.87,15.9,16.0212481,73.4354166666667
"16","HSDB194","Hydrophis schistosus","Malvan",18.7,"Scales",-14.8,15.28,16.0630693,73.4104166666667
"17","HSMT79","Hydrophis schistosus","Tondavali",11.22,"Scales",-14.57,15.44,16.1646075,73.4104166666667
"18","HSMT80","Hydrophis schistosus","Tondavali",11.22,"Scales",-15.44,15.06,16.1646075,73.4104166666667
"19","HSMT81","Hydrophis schistosus","Tondavali",11.22,"Scales",-14.93,15.24,16.1646075,73.4104166666667
"20","HSMT84","Hydrophis schistosus","Tondavali",11.22,"Scales",-13.38,15.67,16.1646075,73.4104166666667
"21","HSMT93","Hydrophis schistosus","Tondavali",14.96,"Scales",-14.37,14.89,16.1646075,73.3979166666667
