"Snake.binomial","Prey.Family","Prey.binomial","Prey.common.name","Prey.count","Location","References"
"Hydrophis curtus","Amphipoda",,"Amphipod",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Anguilliformes",,"Eels",2,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Anguilliformes",,"Eels",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Apogonidae","Apogon poecilopterus","Pearly-finned cardinalfish",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Apogonidae",,"Cardinalfishes",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Apogonidae","Apogon ellioti","Flag-in cardinal-fish",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Apogonidae",,"Cardinalfishes",8,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Ariidae","Netuma thalassina","Giant catfish",2,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Ariidae",,"Sea catfishes",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Ariidae",,"Sea catfishes",130,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Callionymidae",,"Dragonets",5,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Carangidae","Pantolabus radiatus","Fringefin trevally",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Carangidae",,"Jacks and pompanos",7,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Chlopsidae",,"False morays",2,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Class Cephalopoda",,"Cuttlefish/squid",8,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Clupeidae",,"Herrings, shads, sardines menhadens",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Clupeidae","Herklotsichthys lippa","Australian spotted herring",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Clupeidae",,"Herrings, shads, sardines menhadens",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Clupeidae",,"Herrings, shads, sardines menhadens",11,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Cynoglossidae",,"Tonguefishes",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Cynoglossidae",,"Tonguefishes",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Decapoda",,"Shrimp",2,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Eleotridae",,"Sleepers",18,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Engraulidae",,"Anchovies",7,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Engraulidae",,"Anchovies",2,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Fistulariidae",,"Cornetfishes",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Gerreidae","Gerres filamentosus","Whipfin silver-biddy",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Gobiidae",,"Gobies",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Gobiidae",,"Gobies",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Gobioidei",,"Gobies",4,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Haemulidae","Pomadasys maculatum","Saddle grunt",2,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Infraclass Teleost",,"Bony fish",50,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Labridae",,"Wrasses",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Leiognathidae",,"Slimys, slipmouths, or pony fishes",5,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Leiognathidae","Eubleekeria splendens","Splendid ponyfish",18,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Leiognathidae","Gazza minuta","Toothpony",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Leiognathidae","Photopectoralis bindus","Orangefin ponyfish",4,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
