Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Family,Prey Species,Abundance,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
1,,,,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Lagocephalus inermis,1,Yes,,2,11.7,,1.5,,,,,Dandi beach,
2,,,,Gut content,Hydrophis schistosus,Mantis Shrimp,Unidentified,Unidentified,1,Yes,,1,10.5,,1.5,,,,,Dandi beach,?
3,,,,Gut content,Hydrophis schistosus,Kane/Lady fish,Unidentified,Silago,1,Yes,,2,15.5,,2.5,,,,,Dandi beach,
4,,,,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Lagocephalus inermis,1,Yes,,1,13.5,,3,,,,,Dandi beach,
5,,,,Gut content,Hydrophis schistosus,Solefish,Cynoglossidae,Unidentified,1,Yes,,2,15,,3.2,,,,,Dandi beach,
6,,,,Gut content,Hydrophis schistosus,,Carangidae,Decapterus sp.,1,Yes,,2,10,,3.4,,,,,Dandi beach,Tail Absent
7,,,,Gut content,Hydrophis schistosus,Croaker,Sciaenidae,Unidentified,1,Yes,,1,15,,3.5,,,,,Dandi beach,
8,,,,Gut content,Hydrophis schistosus,,Unidentified,Unidentified,1,Yes,,2,8.5,,3.5,,,,,Dandi beach,
9,,,,Gut content,Hydrophis schistosus,,Carangidae,Decapterus sp.,1,Yes,,3,,,4.1,,,,,Dandi beach,Half Digested
10,,,,Gut content,Hydrophis schistosus,Eeltailed Catfish,Plotosidae,Unidentified,1,Yes,,2,26,,4.6,,,,,Dandi beach,
11,,,,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,2,Yes,,3,,,,,,,,Dandi beach,
12,,,,Gut content,Hydrophis schistosus,,Unidentified,Unidentified,7,Yes,,3,,,,,,,,Dandi beach,Half Digested
13,,,,Gut content,Hydrophis schistosus,Rawas?,Polynemidae,Eleutheronema tetradactylum,2,Yes,,3,,,,,,,,Dandi beach,?
14,,,,Gut content,Hydrophis schistosus,Bombay Duck,Synodontidae,Harpadon nehereus,1,Yes,,3,,,,,,,,Dandi beach,
15,,,,Gut content,Hydrophis schistosus,,Unidentified,Unidentified,1,Yes,,3,,,,,,,,Dandi beach,
16,28-01-2016,,,Gut content,Hydrophis schistosus,Indian oil sardine,Clupeidae,Unidentified,1,Yes,,1,,,,,,,,Chivla beach,
17,04-02-2016,,,Gut content,Hydrophis schistosus,Indian oil sardine,Clupeidae,Unidentified,1,Yes,,1,15.24,,3.81,,,,,Chivla beach,
18,04-02-2016,,,Gut content,Hydrophis schistosus,Kane/Lady fish,Elopidae,Unidentified,1,Yes,,2,12.7,,3.81,,,,,Chivla beach,
19,04-02-2016,,,Gut content,Hydrophis schistosus,Kane/Lady fish,Elopidae,Unidentified,1,Yes,,1,13.208,,4.31,,,,,Chivla beach,
20,04-02-2016,,,Gut content,Hydrophis schistosus,Indian oil sardine,Clupeidae,Unidentified,1,Yes,,1,17.78,,5.08,,,,,Chivla beach,
21,04-02-2016,,,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,1,Yes,,2,15.24,,5.08,,,,,Chivla beach,Partially digested
22,19-02-2016,,,Gut content,Hydrophis schistosus,Kane/Lady fish,Elopidae,Unidentified,1,Yes,,2,12.7,,5.08,,,,,Dandi beach,
23,14-03-2016,,,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,1,Yes,,3,,,,,,,,Dandi beach,Almost well digested
24,15-03-2016,,,Gut content,Hydrophis curtus,Solefish,Cynoglossidae,Unidentified,1,Yes,,1,15.24,,5.08,,,,,Dandi beach,
25,15-03-2016,,,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,1,Yes,,3,,,,,,,,Dandi beach,Almost well digested
26,16-03-2016,,,Gut content,Hydrophis curtus,Solefish,Cynoglossidae,Unidentified,1,Yes,,1,12.7,,2.54,,,,,Dandi beach,
27,16-03-2016,,,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,1,Yes,,3,,,,,,,,Dandi beach,Almost well digested
28,16-03-2016,,,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,1,Yes,,3,,,,,,,,Dandi beach,Almost well digested
29,16-03-2016,,,Gut content,Hydrophis curtus,Eel,Ophichitidae ,Unidentified,1,Yes,,2,,,,,,,,Dandi beach,Almost well digested. Skull with lower and upper jaws are intact
30,17-03-2016,,,Gut content,Hydrophis curtus,Eel,Ophichitidae ,Unidentified,1,Yes,,1,20.32,,2.54,,,,,Dandi beach,Entire eel was regurgitated
31,17-03-2016,,,Gut content,Hydrophis curtus,Eel,Ophichitidae ,Unidentified,1,Yes,,1,17.78,,2.54,,,,,Dandi beach,
32,17-03-2016,,,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,1,Yes,,3,,,,,,,,Dandi beach,
