Sr..No.,Date,Field.Code,Species,Location.encountered,Collection.Time,Depth.Caught..Fathoms.,Gear.Type,Fishing.Location,Fishing.Substrate,Fishing.Net.Type,Fishing.Target.Species,Boat.Name.Owner,Fishing.Trip.Start,Fishing.Trip.End,No..of.Hauls,Average.Haul.Duration..Hours.,Net.Catch..kg.,Condition.at.encounter..D.A.,Gut.Content,Blood,Plasma.Volume,Plasma.Color,Scale,Stress.hormone,Injured,Survival.Experiment,Condition.after.24.hrs..D.A.,Dissected,Snout.to.Vent..cm.,Body.Length..cm.,Tail.Length..cm.,Head.Length..cm.,Head.Width..cm.,Snout.to.Nose..cm.,Nose.to.Eye..cm.,Gape..cm.,Neck.Circumference..cm.,Body.Circumference..cm.,Weight..g.,Sex,Gravid,Photo.No.,Remarks,Month,Year,Depth.Caught..m.,Class
1,28-12-2017,HSDB01,Hydrophis schistosus,Dandi,NA,12,GillNet,,,Pelagic,,Santosh,NA,NA,1,NA,NA,Alive,,,NA,,,,,,,,57.5,67,9.5,NA,NA,NA,NA,NA,NA,NA,155,Male,,CR 7U3A926,,December,2017,22.44,Juvenile
2,29-12-2017,HSDB02,Hydrophis schistosus,Dandi,NA,NA,GillNet,,,Pelagic,,,NA,NA,1,NA,NA,Alive,Yes,,NA,,,,,Yes,Alive,,81,91.5,10.5,NA,NA,NA,NA,NA,NA,9,500,Male,,,Rgurgitated 4 pufferfish,December,2017,NA,Adult
3,29-12-2017,HCMT03,Hydrophis curtus,Malvan,NA,13.5,Trawler,,,,Prawns/Solefish,Shreepad Valab 01,NA,NA,3,2.5,NA,Dead,,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,Discarded by trawler crew,December,2017,25.245,NA
4,29-12-2017,HCMT01,Hydrophis curtus,Malvan,NA,13.5,Trawler,,,,Prawns/Solefish,Shreepad Valab 01,NA,NA,3,2.5,NA,Alive,,,NA,,,,,,,,59,65.5,6.5,2.7,1.4,NA,0.7,1.61,1.3,3.08,200,Male,,SD DSC93100,,December,2017,25.245,Adult
5,29-12-2017,HCMT02,Hydrophis curtus,Malvan,NA,13.5,Trawler,,,,Prawns/Solefish,Shreepad Valab 01,NA,NA,3,2.5,NA,Alive,,,NA,,,,,,,,66.8,72.5,5.7,2.2,1.7,NA,1.05,1.62,1.62,4.07,260,Female,,SD DSC9305,,December,2017,25.245,Juvenile
6,29-12-2017,HCDB01,Hydrophis curtus,Dandi,NA,NA,,,,,,,NA,NA,NA,NA,NA,Dead,Yes,,NA,,,,Yes,,,Yes,63.5,69.5,6,2.2,1.5,NA,0.8,1.7,1.4,4.3,260,Female,,SD DSC9296,Missing lower jaw,December,2017,NA,Juvenile
7,31-12-2017,HCDB02,Hydrophis curtus,Dandi,NA,12,GillNet,,,Pelagic,Indian Makerel,Santosh,NA,NA,1,NA,NA,Alive,,,NA,,,,,Yes,Alive,,51,57.2,6.2,NA,NA,NA,NA,NA,NA,NA,285,,,,Found in Large catch of Bangda,December,2017,22.44,Juvenile
8,31-12-2017,HCDB03,Hydrophis curtus,Dandi,NA,NA,,,,,,,NA,NA,NA,NA,NA,Dead,Yes,,NA,,,,,,,Yes,58.5,65.4,6.9,1.619,1.032,NA,NA,1.6,0.682,1.597,195,Male,,,"Found near evening auction, digested mass",December,2017,NA,Adult
9,31-12-2017,HCMT04,Hydrophis curtus,Malvan,NA,13.5,Trawler,,,,Prawns/Solefish,Shreepad Valab 01,NA,NA,3,2.5,NA,Alive,,,NA,,,,,Yes,Alive,,50.8,58.1,7.3,NA,NA,NA,NA,NA,NA,NA,300,,,,,December,2017,25.245,Juvenile
10,31-12-2017,HCMT05,Hydrophis curtus,Malvan,NA,13.5,Trawler,,,,Prawns/Solefish,Shreepad Valab 01,NA,NA,3,2.5,NA,Dead,Yes,,NA,,Yes,,,,,Yes,61.5,69.6,8.1,2.156,1.154,0.484,0.234,1.824,1.025,1.794,280,Male,,,,December,2017,25.245,Adult
