"Gear.Type","Sample","Family","Weight.g","Class","Haul.time","No.hauls"
"Gill Net","deb74eeb","Clupeidae",664,"Target Catch",90,1
"Gill Net","deb74eeb","Lactariidae",56,"Bycatch",90,1
"Gill Net","deb74eeb","Scombridae",45,"Bycatch",90,1
"Gill Net","deb74eeb","NA",347,"Bycatch",90,1
"Gill Net","47be1f51","Clupeidae",541,"Target Catch",20,1
"Gill Net","47be1f51","Leiognathidae",20,"Bycatch",20,1
"Gill Net","47be1f51","Scombridae",56,"Bycatch",20,1
"Gill Net","47be1f51","Sphyraenidae",92,"Bycatch",20,1
"Gill Net","47be1f51","NA",183,"Bycatch",20,1
"Gill Net","30b92fc7","Clupeidae",663,"Target Catch",30,1
"Gill Net","30b92fc7","Scombridae",84,"Bycatch",30,1
"Gill Net","30b92fc7","Sphyraenidae",180,"Bycatch",30,1
"Gill Net","30b92fc7","Synodontidae",54,"Bycatch",30,1
"Gill Net","30b92fc7","Terapontidae",52,"Discard",30,1
"Gill Net","30b92fc7","Tetraodontidae",70,"Discard",30,1
"Gill Net","30b92fc7","NA",198,"Bycatch",30,1
"Gill Net","aeddba64","Carangidae",63,"Bycatch",30,1
"Gill Net","aeddba64","Clupeidae",688,"Target Catch",30,1
"Gill Net","aeddba64","Portunidae",82,"Discard",30,1
"Gill Net","aeddba64","Scombridae",168,"Bycatch",30,1
"Gill Net","aeddba64","Sphyraenidae",52,"Discard",30,1
"Gill Net","aeddba64","Synodontidae",86,"Bycatch",30,1
"Gill Net","aeddba64","Terapontidae",30,"Discard",30,1
"Gill Net","aeddba64","NA",286,"Bycatch",30,1
"Gill Net","d9da8af2","Clupeidae",640,"Target Catch",30,1
"Gill Net","d9da8af2","Engraulidae",199,"Discard",30,1
"Gill Net","d9da8af2","Scombridae",58,"Bycatch",30,1
"Gill Net","d9da8af2","Tetraodontidae",10,"Discard",30,1
"Gill Net","d9da8af2","NA",400,"Discard",30,1
"Gill Net","40d3db48","Carangidae",18,"Bycatch",20,1
"Gill Net","40d3db48","Clupeidae",972,"Target Catch",20,1
"Gill Net","40d3db48","Engraulidae",0,"Bycatch",20,1
"Gill Net","40d3db48","Portunidae",75,"Bycatch",20,1
"Gill Net","40d3db48","Scombridae",216,"Bycatch",20,1
"Gill Net","40d3db48","NA",1392,"Bycatch",20,1
"Gill Net","37d4ebde","Clupeidae",1670,"Target Catch",45,1
"Gill Net","37d4ebde","Engraulidae",42,"Discard",45,1
"Gill Net","37d4ebde","Leiognathidae",22,"Discard",45,1
"Gill Net","37d4ebde","Scombridae",209,"Bycatch",45,1
"Gill Net","37d4ebde","Serranidae",216,"Discard",45,1
"Gill Net","37d4ebde","Sphyraenidae",0,"Bycatch",45,1
"Gill Net","37d4ebde","NA",487,"Bycatch",45,1
"Gill Net","a76bf64f","Carangidae",133,"Bycatch",120,1
"Gill Net","a76bf64f","Clupeidae",175,"Target Catch",120,1
"Gill Net","a76bf64f","Scombridae",112,"Bycatch",120,1
"Gill Net","a76bf64f","Sphyraenidae",118,"Bycatch",120,1
"Gill Net","a76bf64f","NA",148,"Bycatch",120,1
"Gill Net","d06cc6d9","Clupeidae",272,"Target Catch",45,1
"Gill Net","d06cc6d9","Scombridae",0,"Bycatch",45,1
"Gill Net","d06cc6d9","Tetraodontidae",0,"Bycatch",45,1
"Gill Net","d06cc6d9","NA",277,"Bycatch",45,1
"Gill Net","b0ab4f3c","Clupeidae",167,"Target Catch",30,1
"Gill Net","b0ab4f3c","Engraulidae",37,"Bycatch",30,1
"Gill Net","b0ab4f3c","Scombridae",407,"Bycatch",30,1
"Gill Net","b0ab4f3c","Sphyraenidae",99,"Bycatch",30,1
"Gill Net","b0ab4f3c","NA",459,"Bycatch",30,1
"Gill Net","c7ac7faa","Clupeidae",290,"Bycatch","NA",1
"Gill Net","c7ac7faa","Scombridae",89,"Bycatch","NA",1
"Gill Net","c7ac7faa","Tetraodontidae",21,"Discard","NA",1
"Gill Net","c7ac7faa","NA",71,"Bycatch","NA",1
"Gill Net","5ea52e10","Clupeidae",1052,"Target Catch",15,1
"Gill Net","5ea52e10","NA",320,"Bycatch",15,1
"Gill Net","29a21e86","Carangidae",57,"Bycatch",75,1
"Gill Net","29a21e86","Clupeidae",428,"Target Catch",75,1
"Gill Net","29a21e86","Lactariidae",263,"Target Catch",75,1
"Gill Net","29a21e86","Leiognathidae",92,"Bycatch",75,1
"Gill Net","29a21e86","Scombridae",94,"Target Catch",75,1
"Gill Net","29a21e86","Terapontidae",130,"Discard",75,1
"Gill Net","29a21e86","Tetraodontidae",99,"Discard",75,1
"Gill Net","29a21e86","NA",319,"Discard",75,1
"Gill Net","b7c68b25","Carangidae",184,"Bycatch",145,1
"Gill Net","b7c68b25","Clupeidae",819,"Target Catch",145,1
"Gill Net","b7c68b25","Engraulidae",38,"Bycatch",145,1
"Gill Net","b7c68b25","Lactariidae",141,"Target Catch",145,1
"Gill Net","b7c68b25","Leiognathidae",63,"Discard",145,1
"Gill Net","b7c68b25","Serranidae",55,"Discard",145,1
"Gill Net","b7c68b25","Synodontidae",120,"Bycatch",145,1
"Gill Net","b7c68b25","Terapontidae",129,"Bycatch",145,1
"Gill Net","b7c68b25","Tetraodontidae",125,"Discard",145,1
"Gill Net","b7c68b25","NA",402,"Bycatch",145,1
"Gill Net","c0c1bbb3","Clupeidae",345,"Target Catch",30,1
"Gill Net","c0c1bbb3","Lactariidae",440,"Target Catch",30,1
"Gill Net","c0c1bbb3","Leiognathidae",97,"Discard",30,1
"Gill Net","c0c1bbb3","Scombridae",1194,"Target Catch",30,1
"Gill Net","c0c1bbb3","Serranidae",72,"Discard",30,1
"Gill Net","c0c1bbb3","Synodontidae",126,"Bycatch",30,1
"Gill Net","c0c1bbb3","Terapontidae",64,"Bycatch",30,1
"Gill Net","c0c1bbb3","Tetraodontidae",92,"Discard",30,1
"Gill Net","c0c1bbb3","NA",5032,"Discard",30,1
"Gill Net","59c8ea09","Carangidae",311,"Bycatch",30,1
"Gill Net","59c8ea09","Clupeidae",755,"Target Catch",30,1
"Gill Net","59c8ea09","Engraulidae",91,"Bycatch",30,1
"Gill Net","59c8ea09","Lactariidae",862,"Target Catch",30,1
"Gill Net","59c8ea09","Synodontidae",40,"Bycatch",30,1
"Gill Net","59c8ea09","Terapontidae",83,"Bycatch",30,1
"Gill Net","59c8ea09","NA",981,"Discard",30,1
"Gill Net","2ecfda9f","Carangidae",80,"Bycatch",30,1
"Gill Net","2ecfda9f","Clupeidae",940,"Target Catch",30,1
"Gill Net","2ecfda9f","Leiognathidae",378,"Discard",30,1
"Gill Net","2ecfda9f","Synanceiidae",61,"Discard",30,1
"Gill Net","2ecfda9f","Synodontidae",42,"Bycatch",30,1
"Gill Net","2ecfda9f","NA",179,"Discard",30,1
"Gill Net","be70c70e","Engraulidae",85,"Bycatch",30,1
"Gill Net","be70c70e","Lactariidae",197,"Target Catch",30,1
"Gill Net","be70c70e","Portunidae",121,"Bycatch",30,1
"Gill Net","be70c70e","Scombridae",415,"Target Catch",30,1
"Gill Net","be70c70e","Synanceiidae",18,"Discard",30,1
"Gill Net","be70c70e","Tetraodontidae",199,"Discard",30,1
"Gill Net","be70c70e","NA",1497,"Target Catch",30,1
"Gill Net","c977f798","Carangidae",67,"Target Catch",60,1
"Gill Net","c977f798","Clupeidae",820,"Target Catch",60,1
"Gill Net","c977f798","Engraulidae",34,"Bycatch",60,1
"Gill Net","c977f798","Lactariidae",146,"Target Catch",60,1
"Gill Net","c977f798","Leiognathidae",112,"Discard",60,1
"Gill Net","c977f798","Scombridae",244,"Target Catch",60,1
"Gill Net","c977f798","Serranidae",188,"Discard",60,1
"Gill Net","c977f798","Sphyraenidae",184,"Bycatch",60,1
"Gill Net","c977f798","Synodontidae",149,"Bycatch",60,1
"Gill Net","c977f798","Terapontidae",57,"Bycatch",60,1
"Gill Net","c977f798","NA",1082,"Bycatch",60,1
"Gill Net","9b861cff","Clupeidae",125,"Bycatch",60,1
"Gill Net","9b861cff","Portunidae",348,"Bycatch",60,1
"Gill Net","9b861cff","Scombridae",607,"Target Catch",60,1
"Gill Net","9b861cff","Synodontidae",197,"Bycatch",60,1
"Gill Net","9b861cff","Tetraodontidae",53,"Bycatch",60,1
"Gill Net","9b861cff","NA",211,"Bycatch",60,1
"Gill Net","ec812c69","Clupeidae",411,"Target Catch",90,1
"Gill Net","ec812c69","Engraulidae",53,"Bycatch",90,1
"Gill Net","ec812c69","Lactariidae",410,"Target Catch",90,1
"Gill Net","ec812c69","Leiognathidae",41,"Discard",90,1
"Gill Net","ec812c69","Polynemidae",44,"Bycatch",90,1
"Gill Net","ec812c69","Scombridae",552,"Target Catch",90,1
"Gill Net","ec812c69","Synodontidae",71,"Bycatch",90,1
"Gill Net","ec812c69","NA",1113,"Bycatch",90,1
"Gill Net","75887dd3","Clupeidae",673,"Target Catch",60,1
"Gill Net","75887dd3","Lactariidae",964,"Target Catch",60,1
"Gill Net","75887dd3","Leiognathidae",28,"Discard",60,1
"Gill Net","75887dd3","Polynemidae",48,"Bycatch",60,1
"Gill Net","75887dd3","Scombridae",890,"Target Catch",60,1
"Gill Net","75887dd3","Serranidae",91,"Bycatch",60,1
"Gill Net","75887dd3","Synanceiidae",83,"Discard",60,1
"Gill Net","75887dd3","Synodontidae",111,"Bycatch",60,1
"Gill Net","75887dd3","NA",1761,"Bycatch",60,1
"Gill Net","028f4d45","Carangidae",561,"Bycatch",60,1
"Gill Net","028f4d45","Clupeidae",788,"Target Catch",60,1
"Gill Net","028f4d45","Lactariidae",660,"Target Catch",60,1
"Gill Net","028f4d45","Leiognathidae",79,"Discard",60,1
"Gill Net","028f4d45","Portunidae",223,"Bycatch",60,1
"Gill Net","028f4d45","Scombridae",764,"Target Catch",60,1
"Gill Net","028f4d45","Synodontidae",159,"Bycatch",60,1
"Gill Net","028f4d45","Terapontidae",563,"Discard",60,1
