"","Scientific.Name","Family"
"1","Gazza minuta","Leiognathidae"
"2","Gazza sp.","Leiognathidae"
"3","Leiognathus brevirostris","Leiognathidae"
"4","Leiognathus splendens","Leiognathidae"
"5","Thryssa sp.","Engraulidae"
"6","Epinephelus diacanthus","Serranidae"
"7","Terapon theraps","Terapontidae"
"8","Arius maculatus","Ariidae"
"9","Sauromuraenesox sp.","Muraenesocidae"
"10","Grammoplites sp.","Platycephalidae"
"11","Grammoplites scaber","Platycephalidae"
"12","Saurida sp.","Synodontidae"
"13","Thryssa dussumieri","Engraulidae"
"14","Opisthopterus tardoore","Clupeidae"
"15","Valamugil sp.","Mugilidae"
"16","Sphyraena putnamae","Sphyraenidae"
"17","Thryssa mystax","Engraulidae"
"18","Anadontostoma chacunda","Clupeidae"
"19","Chelonodon patoca","Tetraodontidae"
"20","Eupleurogrammus glossodon","Trichiuridae"
"21","Alepes kleinii","Carangidae"
"22","Leiognathus daura","Leiognathidae"
"23","Gazza achlamys","Leiognathidae"
"24","Thryssa setirostris","Engraulidae"
"25","Ilisha sp.","Clupeidae"
"26","Scoliodon laticaudus","Carcharhinidae"
"27","Alepes djedaba","Carangidae"
"28","Trichiurus lepturus","Trichiuridae"
"29","Nemipterus sp.","Nemipteridae"
"30","Alepes sp.","Carangidae"
"31","Megalaspis cordyla","Carangidae"
"32","Chiloscyllium sp.","Hemiscylliidae"
"33","Pseudorhombus arsius","Paralichthyidae"
"34","Portunus sanguinolentus","Portunidae"
"35","Lagocephalus inermis","Tetraodontidae"
"36","Uroteuthis duvaucelli","Loliginidae"
"37","Otolithoides sp.","Sciaenidae"
"38","Rastrelliger kanagurta","Scombridae"
"39","Lagocephalus sp.","Tetraodontidae"
"40","Ilisha melastoma","Clupeidae"
"41","Priacanthus hamrur","Priacanthidae"
"42","Leiognathus sp.","Leiognathidae"
"43","Terapon puta","Terapontidae"
"44","Plotosus lineatus","Plotosidae"
"45","Gerres longirostris","Gerreidae"
"46","Mene maculata","Menidae"
"47","Nemipterus japonicus","Nemipteridae"
"48","Stolephorus indicus","Engraulidae"
"49","Lactarius lactarius","Lactariidae"
"50","Secutor insidiator","Leiognathidae"
"51","Thryssa sp. 1","Engraulidae"
"52","Sepiella inermis","Sepiidae"
"53","Thryssa hamiltonii","Engraulidae"
"54","Saurida tumbil","Synodontidae"
"55","Leiognathus bindus","Leiognathidae"
"56","Sardinella longiceps","Clupeidae"
"57","Nematalosa nasus","Clupeidae"
"58","Plotosus canius","Plotosidae"
"59","Pomadasys maculatus","Haemulidae"
"60","Triacanthus biaculeatus","Triacanthidae"
"61","Netuma thalassina","Ariidae"
"62","Drepane longimana","Drepaneidae"
"63","Uroconger lepturus","Congridae"
"64","Cynoglossus sp.","Cynoglossidae"
"65","Leiognathus blochi","Leiognathidae"
"66","Stolephorus commersonii","Engraulidae"
"67","Thryssa baelama","Engraulidae"
"68","Sardinella gibbosa","Clupeidae"
"69","Scomberoides tala","Carangidae"
"70","Otolithes sp.","Sciaenidae"
"71","Pseudorhombus triocellatus","Paralichthyidae"
"72","Miyakella nepa","Squillidae"
"73","Parapenaeopsis sp.","Penaeidae"
"74","Filimanus similis","Polynemidae"
"75","Metapenaeus dobsoni","Penaeidae"
"76","Grammoplites suppositus","Platycephalidae"
"77","Sillago sihama","Sillaginidae"
"78","Ilisha megaloptera","Clupeidae"
"79","Stolephorus sp.","Engraulidae"
"80","Aluterus monoceros","Monacanthidae"
"81","Atropus atropos","Carangidae"
"82","Decapterus russelli","Carangidae"
"83","Dussumieria acuta","Clupeidae"
"84","Portunus pelagicus","Portunidae"
"85","Echeneis naucrates","Echeneidae"
"86","Sphyraena sp.","Sphyraenidae"
"87","Terapon jarbua","Terapontidae"
"88","Minous monodactylus","Synanceiidae"
"89","Hilsa kelee","Clupeidae"
"90","Pellona ditchela","Clupeidae"
"91","Lepturacanthus savala","Trichiuridae"
"92","Stolephorus insularis","Engraulidae"
"93","Brevitrygon walga","Dasyatidae"
"94","Muraenesox sp.","Muraenesocidae"
"95","Archamia bleekeri","Apogonidae"
"96","Stolephorus heterolobus","Engraulidae"
"97","Mugil cephalus","Mugilidae"
"98","Apogon fasciatus","Apogonidae"
"99","Encrasicholina devisi","Engraulidae"
"100","Decapterus sp.","Carangidae"
"101","Scomberomorus sp.","Scombridae"
"102","Leiognathus equulus","Leiognathidae"
"103","Stolephorus sp. 1","Engraulidae"
"104","Selar crumenopthalmus","Clupeidae"
"105","Scatophagus argus","Scatophagidae"
"106","Sphyraena obtusata","Sphyraenidae"
"107","Sphyraena jello","Sphyraenidae"
"108","Arius sumatranus","Ariidae"
"109","Bregmaceros mcclellandi","Bregmacerotidae"
"110","Secutor sp.","Leiognathidae"
"111","Acetes indicus","Sergestidae"
"112","Sardinella sp.","Clupeidae"
"113","Charybdis feriatus","Portunidae"
"114","Charybdis lucifera","Portunidae"
"115","Odonus niger","Ballistidae"
"116","Stolephorus waitei","Engraulidae"
"117","Platycephalus indicus","Platycephalidae"
"118","Upeneus sulphureus","Mullidae"
"119","Saurida undosquamis","Synodontidae"
"120","Terapon sp.","Terapontidae"
"121","Gerres filamentosus","Gerreidae"
"122","Astropecten indicus","Astropectinidae"
"123","Apogon sp.","Apogonidae"
"124","Parascolopsis townsendi","Nemipteridae"
"125","Trypauchen vagina","Gobiidae"
