"","Date","Boat.Name.Owner","Species","Fishing.Location","Depth.Caught..m.","lon","lat","CPUE","n"
"1","01-01-2019","Lakshmi","HC","Malvan",28.05,73.3520833333333,16.0630693,1,3
"2","01-01-2019","Laxmi Rawalnath","HC","Malvan",24.31,73.3770833333333,16.0630693,4,2
"3","01-02-2019","Jayashree","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"4","01-03-2019","Mesth Rampan Sangh","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"5","01-05-2018","Lakshmi Ravalnath 2","HC","Talashil",15.895,73.4229166666667,16.100039,0,0
"6","01-05-2019","Devata","HC","Malvan",9.35,73.44375,16.0630693,0,0
"7","01-05-2019","Mahalaxmi","HC","Juva Pankhol",14.96,73.4229166666667,16.1120596,0,0
"8","01-11-2018","Sukhkarta","HC","Malvan",18.7,73.4104166666667,16.0630693,2,1
"9","01-12-2018","Somnia","HC","Aachara",22.44,73.36875,16.190837,0.8,2
"10","01-12-2018","Suhas Toraskar","HC","Vayangani",13.09,73.40625,16.1759964,0,0
"11","02-01-2019","Mesth Rampan Sangh","HC","Malvan",8.415,73.4479166666667,16.0630693,1.5,3
"12","02-01-2019","Narayani Prasad","HC","Malvan",28.985,73.34375,16.0630693,0.5,1
"13","02-03-2019","Narayani Prasad","HC","Kavada Rock",33.66,73.2895833333333,16.1012464,2,1
"14","02-04-2018","Jal Prabha 06","HC","Malvan",14.025,73.4354166666667,16.0630693,0,0
"15","02-04-2018","Vaibhav Laxmi","HC","Aachara",22.44,73.36875,16.190837,0,0
"16","02-05-2018","Bhagwati Prasad","HC","Aachara",11.22,73.4145833333333,16.190837,0,0
"17","02-05-2018","Lakshmi","HC","Sindhudurg Fort",5.61,73.3479166666667,16.3492193,0,0
"18","02-05-2018","Vighneshwar","HC","Malvan",22.44,73.3854166666667,16.0630693,0,0
"19","02-05-2019","","HC","Moryacha Dhonda",14.96,73.4395833333333,16.0434558,0,0
"20","03-02-2019","Kalaki","HC","Talashil",13.09,73.43125,16.100039,0,0
"21","03-04-2018","Gajanth Laxmi","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"22","03-04-2019","Bhadrakali","HC","Malvan",31.79,73.3354166666667,16.0630693,0,0
"23","03-04-2019","Laxmi Rawalnath","HC","Tarkarli",7.48,73.46875,16.0370463,0,0
"24","04-01-2019","Laxmi Rawalnath","HC","Malvan",20.57,73.3979166666667,16.0630693,1,1
"25","04-04-2018","Pavnai","HC","Malvan",9.35,73.44375,16.0630693,0,0
"26","04-05-2018","Bhagwati Prasad","HC","Aachara",9.35,73.41875,16.190837,0,0
"27","04-05-2018","Ganesh","HC","Kavada Rock",14.96,73.4270833333333,16.1012464,0,0
"28","04-05-2018","Ratnadurga","HC","Talashil",18.7,73.40625,16.100039,0,0
"29","04-05-2019","Om Sai","HC","Juva Pankhol",28.05,73.3479166666667,16.1120596,0,0
"30","04-11-2018","Taraka","HC","Malvan",8.415,73.4479166666667,16.0630693,0,0
"31","04-11-2018","Yashodha","HC","Sindhudurg Fort",12.155,73.34375,16.3492193,0,0
"32","04-12-2018","Yakshini-devi","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"33","05-01-2019","Kalambia","HC","Malvan",13.09,73.4395833333333,16.0630693,1,2
"34","05-01-2019","Narayani Prasad","HC","Malvan",26.18,73.3645833333333,16.0630693,2,1
"35","05-01-2019","Yashodha","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"36","05-03-2018","Gajanth Laxmi","HC","Tondavali",11.22,73.4104166666667,16.1646075,0,0
"37","05-04-2018","Mesth Rampan Sangh","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"38","05-05-2018","Bhagwati Prasad","HC","Aachara",11.22,73.4145833333333,16.190837,0,0
"39","05-12-2018","Laxmi Rawalnath","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"40","06-01-2019","Mesth Rampan Sangh","HC","Malvan",7.48,73.4520833333333,16.0630693,0.25,1
"41","06-01-2019","Pavnai Devi","HC","Malvan",18.7,73.4104166666667,16.0630693,2,1
"42","06-01-2019","Shree Adishakti","HC","Malvan",13.09,73.4395833333333,16.0630693,1,1
"43","06-02-2019","Lakshmi","HC","Talashil",14.96,73.4270833333333,16.100039,0,0
"44","06-02-2019","Purushottam prasad","HC","Malvan",9.35,73.44375,16.0630693,0,0
"45","06-03-2019","Revta","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"46","06-05-2018","Wairy Ubhatwadi Beach Rampan Sangh","HC","Malvan",10.285,73.4479166666667,16.0630693,0,0
"47","06-11-2018","Malandkar","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"48","07-02-2019","Yashodha","HC","Moryacha Dhonda",9.35,73.4645833333333,16.0434558,0,0
"49","07-03-2018","Gajanth Laxmi","HC","Tondavali",14.96,73.4020833333333,16.1646075,0,0
"50","07-04-2018","Taraka","HC","Talashil",14.96,73.4270833333333,16.100039,0,0
"51","07-05-2019","Durgadevi","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"52","08-05-2018","Indrayani","HC","Sindhudurg Fort",3.74,73.3520833333333,16.3492193,0,0
"53","08-05-2018","Wairy Ubhatwadi Beach Rampan Sangh","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"54","08-12-2018","Devki","HC","Aachara",16.83,73.3979166666667,16.190837,0,0
"55","09-01-2019","Disba Siddhi","HC","Malvan",29.92,73.3395833333333,16.0630693,2,2
"56","09-01-2019","Heramb","HC","Malvan",28.05,73.3520833333333,16.0630693,1,1
"57","09-01-2019","Lalita","HC","Malvan",28.05,73.3520833333333,16.0630693,1,1
"58","09-01-2019","Laxmi Rawalnath","HC","Malvan",29.92,73.3395833333333,16.0630693,1,1
"59","09-01-2019","Moreshwar Krupa","HC","Malvan",28.05,73.3520833333333,16.0630693,1,1
"60","09-01-2019","Vetoba Prasanna","HC","Malvan",28.05,73.3520833333333,16.0630693,1,1
"61","09-03-2018","Ganesh Krupa","HC","Malvan",20.57,73.3979166666667,16.0630693,0,0
"62","09-03-2018","Ganesh Krupa 20","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"63","09-03-2018","Jal Prabha 06","HC","Tarkarli",11.22,73.4479166666667,16.0370463,0,0
